"","klasifikasi","score","text"
"29","Netral",0,"sirtahankan tasinya"
"30","Positif",1,"halal  sesuai syariah nggak ya"
"31","Positif",1,"bagus"
"32","Negatif",-1,"teminvestasi  amann gaess  uk investasi    syariah   gak u khawatir ya    luuat masukin kode refferal  imengalir lumayankan  dacashback  kalagi coba selamat berinvestasi kawan"
"33","Netral",0,"terimakasih bibit  memfasilitasi   berinvestasi aasi    menaungi  berinvestasi   investasi  engga butuh modal  cukudal     berinvestasi top bgt dah nya bibit "
"34","Netral",0,"gktfavd  masukan kode referal   nabung minimal rb  langsung  daan cashback yuhuuuuu"
"35","Netral",0,"  ternci"
"36","Positif",2,"aasi  invest reksadana terbaik yg ah     da ribu gratis masukan kode esdegan  join yah"
"37","Netral",0,"aasi mudah"
"38","Positif",1,"mantesq cocok  la   belajar investasi"
"39","Positif",2,"ag bagus cocok utk laðÿðÿ"
"40","Netral",0," bermanfaat   orang wajib nabung  bibit "
"41","Positif",2,"bagus  investasi  debanyak han investasi beserta tingkat resiko  investor"
"42","Positif",1,"alhamdulillah  bibit   investasi  kecilan  la wajib coba good joob guys"
"43","Netral",0,"inves yg menguntung kn âºï"
"44","Netral",0,"ok"
"45","Negatif",-3,"setialikasi i memai kekurangan  kelebihan   taeuntungan  investasi diaasi bibit      dibanding aasi investasi sebelah terbukti   memosikan   ic figur ternama sei dedy corbuizer  raditia dika   masyarakat  aasi  terdaftar  ojk"
"46","Positif",3,"sejau    masala maaf   kasi  bintang karna  mugkin  menabung  samarget ter hi tolong kebijakan   keayaan ku janggan  hilagkan ya      memenuhi bintang"
"47","Negatif",-2,"  ountuk mematikan  notiication  mengganggu aasi  aja  bibit gak "
"48","Positif",2," ngerugiin customer aja  mah tarik dana dikenakan charge  beda bank dg bank imn bibit  k ketiga  memfasilitasi su  gratis"
"49","Positif",1,"bagus"
"50","Positif",2,"gmn  udah   narik dana gak masuk masuk  atm lgi butuh aja susah bnget cairnya  acara  "
"51","Negatif",-1,"bibit sanga     investasi   desemoga  diudah   transaksi    mendacashback silahkan masukkan no referral   mendaftar efzish"
"52","Netral",0,"en all out taananya  seh nafas"
"53","Netral",0,"aasi ter recomended"
"54","Positif",1,"pencairan dana  lamaðÿžðÿžðÿž"
"55","Positif",1," jual aset aja  banget sambermingguminggu"
"56","Positif",1,"cs nya the best   bantuan arui akun  hp  hilang  tanggaengan  samakun   ue nohp  "
"57","Positif",5,"es airan dana ualan  membutuhkan   lamabagi yg  butuh dana darurat   solusi gak  dihara  tolong es airan dana ualan  cesehingga    nyaman kedeya ðÿðÿðÿ"
"58","Netral",0,"mantap"
"59","Netral",0,"mantap"
"60","Netral",0,"damn its good app"
"61","Negatif",-1,"pasif income yg bergaransi"
"62","Netral",0,""
"63","Positif",1,"cocok  investor la"
"64","Netral",0,"mantap"
"65","Negatif",-1,"   la yg  menabung utk  tua  iun "
"66","Netral",0,"t  coba"
"67","Netral",0,"beli sahamnya  jual sahamnya  ðÿžðÿžðÿžðÿž mending pake aain  rekomendasikan"
"68","Netral",0,"ok"
"69","Positif",1,"bagus"
"70","Netral",0," menarik"
"71","Positif",1,"kenaarus  biyaya andmin  ualanbukankah keuntungan  "
"72","Netral",0," la semoga  mengerti  kerja bibit"
"73","Positif",1,"bagus"
"74","Netral",0,"sirun suka tebu  malem keluyuran goleti tebu ne   colongi"
"75","Positif",1,"investasi yg bagus"
"76","Netral",0,"good"
"77","Netral",0,"gajelas gabisa  buka  bacaan error"
"78","Positif",3,"mudah  mengerti  bermanfaat  semoga  kenyamanan   teraya kedenya    ngerti samngerti atu yg namanya investasi  thanks bibit semoga  tumbuh "
"79","Positif",1,"e walllet tambahin     dana  "
"80","Positif",1,"haiii code referal  rrwmjk coba gunain code referal   bibit  da ribu cashback  kaian amaku   mahasiwi   merantau doain  bibit   menutuebutuhan  daerah orang   jdiin bintang  klo berhasil hehe"
"81","Netral",0,"oke sih"
"82","Positif",1,"keren  bibit  recommend banget ya"
"83","Negatif",-1,"min usul adakan  aasi bibit hitung an sbn  biar gam hitungnya"
"84","Netral",0,"sumgue seneng banget gua iseng aja nabung uang sisa    ribu eh gak tau nya  beberaari uda untung bahagia banget gua walauuntung ny   k sumbahagia gua taan saham gua minus bingung aja gitu keknya bibit  ngasih tau   la   keminusan    ah  biarkan aja   manataujur bibit ni keren banget loh   gua buang buang uang yg gak  mending gua nabung ye kanauma gua yg untung  k bahagia"
"85","Negatif",-1,"masukkan kode referal  ya  nmqkgmb"
"86","Netral",0,"siip"
"87","Negatif",-1,"ko  ualande ga   bang yg kiata i  sih"
"88","Positif",1,"aasi bibit sy   terbuka  aaisa d bantu"
"89","Netral",0,"semoga setiahun nilai inventasi  bagus"
"90","Positif",2," enak   ayan  aasi dana  ovo"
"91","Netral",0,"tambahin ewallet ovo"
"92","Netral",0," bibit khusus reksadana aja    ut trading  investasi"
"93","Positif",1,"review jujur gw udah invest     taaru  baca review jelek ni aatanya gabisa wd  gw coba wd wd nya  taakan    seminggu  kerja gw coba wd   rek bank   aman  umbuhan uang nya  cukuik taasi ni gabikin lo tajir instant kalo lo  uang dingin  coba ni aake kode gw vicc biar gw  tajir thanks bibit"
"94","Netral",0,"aasi ga  nih  riwayat trading aasinya keterangn  terjual  transaksi t masuk  rekening   itudi nominal yg "
"95","Positif",1,"bagus"
"96","Netral",0,"k l l lololl love mkk ok k"
"97","Netral",0,"  dacasback  kode reff kitaaa"
"98","Netral",0," "
"99","Positif",1,"mantul banget"
"100","Positif",1,"keren"
"101","Netral",0,"mudah  menabung  investasi trimakasih bibit"
"102","Positif",1,"aasi investasi reksadana rekomended banget  kode voucher  zha  daan cashback r trims"
"103","Netral",0,"pakeeee kode refral  fliss  reksadanaawal "
"104","Positif",2,"bagus banget"
"105","Netral",0,"jngan error mulu  udah seneng connect outodwbit dg bank jago  disconnect "
"106","Netral",0,"cxa mes kodenn cv wc"
"107","Positif",1,"cocok  nabung"
"108","Netral",0,"mudah dimi"
"109","Positif",3,"maaf  kasi bintang   udah narik  ofolio nya udah nunggu   keterangan  transaksi udah selesai dana ngga masuk saldo ku ngga nambah trs  uang nya kemana ya"
"110","Positif",1,"izintanya bibit  halal gak si"
"111","Netral",0,"mantap"
"112","Negatif",-1," kelebihan  kekurangan   rasakan  jangka  yg lumayan     airan nya karna arian     malas  jual reksadana alhasil uang  kekumdan    kekurangan nya  gak   ce kalo    butuh dana mendadak"
"113","Netral",0,"tes  ya  dana dadakan    kalo worth it  yg jangka ang"
"114","Netral",0,"beneran langsung dabonus r  i kode referral mulaibibitbaru overall aasinya gam dimi    la"
"115","Positif",3," penguna ua  mencoba berinvestasi  meningkatkan jaminan   tuaðÿ semoga allah  jlan terbaik kedey  bibir  investasu reksadanaðÿðÿš"
"116","Netral",0," b by non r stt t wcc"
"117","Netral",0,"  beli  cedari  jualkalo beli sehari kelar taas  jual amerhari harihal  rb tinggal sat set ausahnya sih nunggu acc manajer "
"118","Positif",1,"yanan cs   fast resaasi nya  bagus   yg  awam  reksadana dll"
"119","Netral",0,"oke"
"120","Netral",0," join  bibit daftar  kode âžï bibitkasihduit âï bener bener darb donggg yeeayy mayan "
"121","Netral",0,"pembelian mudah taniaya  ngan muga ceditambahkan reksadana sdari syailendraðÿ"
"122","Netral",0,"terimakasih"
"123","Positif",1,"pakai rafferal  reffbibitk   invest   k lhoo ayo install  daan cashback kðÿ mum  muda ouy"
"124","Netral",0," membantu la  berinvestasithx"
"125","Positif",1,"takut  ahli waris  sistemnya digital  kalo  data  dimanisi keluarga    mikirâ   make warisan digital giniðÿœðÿ"
"126","Positif",1,"mudah  nyaman ðÿðÿðÿ"
"127","Negatif",-2,"   kecewa ya tu gede langsung masukk gilirian  cairin  cair  kondisi  minesss "
"128","Positif",2,"aasi bagus  nyimuang  meng investasikan uang"
"129","Netral",0,"the great aation"
"130","Positif",1," narik udh   ngga masuk"
"131","Positif",1,"wd nya  banget aain aja    "
"132","Netral",0," baguss"
"133","Netral",0,"good"
"134","Netral",0," makenya gmna klo sdh to"
"135","Positif",2,"ani   ajuan aman dana"
"136","Negatif",-1,"terkadang yg hamjadi  aasinya ga  dibuka"
"137","Negatif",-1," mendao cashback goberalih  halaman gojek    jedanya alhasil sei jebakan   a o dihalaman bibit sesamya  halaman gosudah habis onya"
"138","Positif",1,"hallo   luakai kode  anggawidnyana  mendaftar    mendaan cashback   lumayan    i kode  anggawidnyana  mendaan cashback ðÿšðÿâœ"
"139","Netral",0,"investasi yg cukumdan ðÿ"
"140","Netral",0,"yuk i kode referral cuanbgt  dacashback k biar cuan barengðÿ"
"141","Netral",0,"cocok  la yg  bermain saham ðÿ"
"142","Netral",0,"membati"
"143","Netral",0,"good"
"144","Netral",0,"amazing"
"145","Positif",1," banget jualnya gak langsung cair"
"146","Positif",1,"  daftar  bibitco  telegram   anyaan samtanya rek  pin tabungan sayasaya batalkan tetaang  dihanguskanani  "
"147","Positif",2,"tolong  aiki aja kasih bintang  dlu ðÿ"
"148","Positif",2,"bagus banget"
"149","Netral",0,"ðÿ"
"150","Netral",0,"good"
"151","Netral",0," mencoba dlu ni"
"152","Netral",0," ualan  ualan aset membutuhkan  berhari  berusaha lahh  ceagar hasil  memuaskan"
"153","Netral",0,"menguntungkan  menabung semoga  tercauntuk nikah"
"154","Netral",0,"mantap"
"155","Netral",0,"  la"
"156","Netral",0," menguntungkan"
"157","Positif",1,"keren"
"158","Netral",0,"aasi  menarik"
"159","Positif",3,"aasi yg keren bangetdi era digital    merekomendasikan aasi    yg  berinvestasi  jangka angdan   dakan cashback senilai ribu   kode referall   lababesar ayo  daftarkan    tunggu    kode lababesar  mendaan cashback ribu"
"160","Positif",2,"  fitur dark mode"
"161","Netral",0,"ðÿðÿðÿ"
"162","Positif",1,"bagus  la  siaja   nabung rekomended deh knya"
"163","Netral",0," membantu  yg  berinvestasi"
"164","Netral",0,"good"
"165","Netral",0,"mantap"
"166","Positif",1,"lihat bagus "
"167","Positif",1,"bagus"
"168","Netral",0,"mantap"
"169","Positif",1,"uang gw gk caircair ðÿ"
"170","Netral",0," tertarik utk  berinvestasi"
"171","Negatif",-1,"aasi  bermutu"
"172","Positif",5,"aasi  bagus   gunaannya  rumit    awam untung aja admin sutnya  banget  membantu banget   kendala   alami nice banget"
"173","Positif",3,"download  aakasi bintang    bagus   tetartahan   bintang âïðÿ"
"174","Positif",1," blm   tarik"
"175","Positif",1,"hya   root tetaaya   masuk  aasi tolong  udah    menabung"
"176","Netral",0," mencoba melek saham   daftar   referal code ku yaa maucashbackk"
"177","Positif",2,"aasinya mudah  bagus banget  la yg  kaya   deðÿ  dacashback masukin kode referal tamaama"
"178","Positif",2,"investasi bibit mudah aman  nyaman  la  mudah d min ðÿ"
"179","Positif",1,"system  ram nya joos banget "
"180","Netral",0,"investasi yg mudah "
"181","Positif",1,"aasi yg  bagus"
"182","Positif",3," bingung  investasi a   banget liat iklan  youtube   ngrekomendasiin deddy corbuzier semberbulanbulan mikir   nyoba aja    registrasi samketerima excited   mudah banget  aman  la  coba registrasi aja   u  kode refferal nitas   cashbacknya r yuk tumbuh  bibit "
"183","Netral",0,"ðÿðÿðÿðÿ"
"184","Netral",0,"bibit  oke banget gak nyesel deh nabung  bibit en dacashback  ribu masukin kode refferal kbanget  ya kbanget"
"185","Positif",1,"membantu  belajar nabung sahames transaksinya   ceerima kasih"
"186","Netral",0,"ok"
"187","Positif",1,"terbaik customer service cetanggaak nyesel gabung  bibit"
"188","Netral",0," suka"
"189","Positif",1,"alhamdulillah  nabung"
"190","Netral",0,"baguuuuusssss"
"191","Netral",0," ngebet deh berinfestasi  menabung  bibit  yg i umbuhannya     dik  berbuah laksana n manggaðÿðÿðÿ"
"192","Positif",2,"aasi investasi reksadana  bagus     han il resiko   robo advisor terimakasih bibit"
"193","Netral",0,"sayha kasi bitag  coba dulua"
"194","Positif",1," aasi ny  bgus  trima kasih bibit"
"195","Negatif",-1,"awas aja klo samitutup"
"196","Positif",2,"lumayan nambah uang jajan"
"197","Netral",0," kode referal maxbonus  datambahan cashback nih"
"198","Netral",0,"lt"
"199","Positif",1,"aasinya bagus  investasi   "
"200","Netral",0,"cukuik"
"201","Positif",1,"mudah   semoga   amanah"
"202","Netral",0,""
"203","Positif",1,"   dacashback rb  nambah tabungan  aftaran masukan kode referal capital   transaksi  cashback rb    "
"204","Positif",1,"anvestasi bagus"
"205","Positif",6,"aasi investasi   bagus banget kawan   coba ya kawan biar  bahagia sei    bahagia    investasi  mudah  nano kawan gunaannya  mudah     aasi   bermanfaat banget kawan knya     aasi    mudah kawan knya  bagus banget kawan  i bahaga  aasi   bermanfaat     investasi"
"206","Positif",1,"terbaik ðÿðÿðÿðÿðÿ"
"207","Netral",0,"ragu invest  bibit aa  d buian     invest agi yg udh masukin uang rutin anyeppp"
"208","Positif",1,"alhamdulillah jumat berkah"
"209","Netral",0,"rekomen bgt  nabung"
"210","Positif",2," banget  airan uang hasil jual reksadana "
"211","Positif",3,"invetasi  bibit aman  terayasaya langsung kasih bintang    bintang   kasihdan  waswas   awasi  ojk"
"212","Negatif",-3,"minimal cari aasi investasi yg  a lisensi  resi  menaruh aset     internet artikel  alaman user  sistem kerja skematis daatur tpsl ue berita  harga yg realtime damemaksamalkan gandaan modal "
"213","Positif",1,"   abibitbanyak han reksa dananyasangat coco    investor a   belajar investasimenabung  semangat  aasi bibitaasinya lancar       mudah   lancaraasi terbukti aman karna  terawasi  ojk"
"214","Positif",2,"mantan bagus tamn uiux nya aasinya cocok  kaum millenial   menumbuhkan deto uang  berinvestasi  aasi   dana darurat   tua   dana beli rumah im  mobil im   denantisemoga kedeya    yanannya"
"215","Netral",0,"  dash back rb code referral rsystem"
"216","Negatif",-1,"giliran udah naro duit  aasi  susah dibuka hadeuhh"
"217","Positif",4,"aasinya h banget untung kagak rugi iya  airan aja  banget nyesel nya ditransaksi sukses taa masuk  rekening cužðÿžðÿž"
"218","Positif",1,"sungguh memikirkan  "
"219","Positif",1,"fitur  mudah dimi la"
"220","Netral",0," trbaik yaaðÿ"
"221","Netral",0,"k o"
"222","Netral",0,"good aasi"
"223","Positif",1,"manta bagus investasi mudah    tanobo  sulit  la  gam tinggal h bru beli deh wkwk"
"224","Negatif",-4," gk nyaman daftar gagal  alasan nya akun bank udah ganti alasan nya bank digital hadehhh    jado caseback nya k  bingung  bibit otw uninstall"
"225","Negatif",-1,"aasi  baguss  mudah  u khawatir   memiliki system syariah mantakoknyaâ"
"226","Netral",0,"aasi investasi terkeruk  saldo gw"
"227","Netral",0,"good"
"228","Netral",0," saham  taendan  minus"
"229","Positif",1,"coba  gak metode ayarannya  i aasi dana biar  simgtu ayarannya"
"230","Positif",1,"  menambah inkam sukan"
"231","Netral",0,"buruan gais nabung  bibit karna bibit  teraya  luasukin kode reffnya biar dabonus rb  nikibae "
"232","Positif",1,"bagus"
"233","Positif",1,"  terhubung  bank jago  biaya admin nya "
"234","Positif",3,"menguntungkanïˆãƒâˆãƒïââˆïˆâœââœ   mudah   koin  investasi tersedia  menambah wawasan  berita  uan  komunitas tersedia  dauang tambahan masuk  ajaaa  bitjago okoknya bibit nomer  aasi investasi"
"235","Netral",0,"sahabat investasi  recomended"
"236","Netral",0," dashback k   luakai kode referral âïâï reksadanaiâïâï"
"237","Positif",7,"akun   gambar  foto  video aktifkan fitur    sei       es  langsung       mudah  cedan nama   es   dadikatakan  es  alami tanahan  es  langsung       mudah  dikunjungi   es            langsung   foto    nih  pro"
"238","Netral",0,"   download masukin kode referal sakurata  baka dacashback"
"239","Netral",0,"teraya"
"240","Negatif",-4,"bibit  cocok      anak sekolahan   berktpataupekerjaðÿžšðÿžšðÿ  tuh ya  salah  ikhtiar warga indonesia  menghadaerkembangan inflansi  bikin ketek kuyun  menggamimtautujuanmu   deÿƒ  artikelartikel  mengedukasi   baca  abibit oh ya kode referal nonamanise  cashback  o o lainya ðÿðÿðÿ  orang  i bibitdan  kalagiââ"
"241","Netral",0,""
"242","Positif",2," suka  senang   aibit initalangkah baiknya tambahkan  ue   metode rikan nyatambahkan metode rikan   ewallet su memudahkan orang menarik uang   memiliki rekeningmohon   arui  ya kak su  rikan  ewallet sei dana ovo gopay"
"243","Netral",0,"  bug  nabung rutin  autodebitjadwal  jam   sesuai"
"244","Netral",0,"good "
"245","Netral",0,"lemot woy masuk  ak  "
"246","Netral",0,"kode referal musafak biar dacashback k"
"247","Netral",0,"mantesuka kode biljwns  mendan cashback "
"248","Positif",1,"mantab"
"249","Netral",0,"good"
"250","Netral",0,"best"
"251","Positif",1,"  bibit berinvasi  aset emas batangan  r"
"252","Netral",0,"membantu  berinvestasi"
"253","Netral",0,"tot knya"
"254","Netral",0,"ðÿ"
"255","Negatif",-1,"  cek  chanel youtube bibit resmi  memasukan kode referal   ama mendacash back ribu berueksadana manulife silahakan temen    investasi  bibit masukan kode referal  casbbackinvestasi  real no hoax khusus  "
"256","Netral",0,"ok"
"257","Positif",1,"bagus"
"258","Netral",0,"mantap"
"259","Positif",3," mudah dimi  la    han resiko  ambil resiko terendah  untung dikit taasti"
"260","Netral",0,"bagus  kaya    belajar investasi  masukan kode referal nya ya "
"261","Netral",0,"semoga ttlalu istiqomah"
"262","Netral",0,"  au"
"263","Netral",0,""
"264","Netral",0,"mantap"
"265","Netral",0,"semoga kedetambah lancar"
"266","Positif",2,"bismilah mengunakan aasi bibit semoga cesukses aood jobb bagus banget"
"267","Positif",2,"pergama  saran coba  juta   dijalankan  liat  bagus   tarik  uangnya  samsaat  uangnya  "
"268","Netral",0," belajar   "
"269","Netral",0,"deskribsiandroidberkualitaslogin"
"270","Netral",0,"  fitur login  email admin  ngarahin biar  dasolusi  customer  login pin terblokir  ketentuan   ditentukan   fitur luin  disuruh merubah orang  login   disuruh ngerubah buruk "
"271","Netral",0,"aasi investasi teraya"
"272","Netral",0,"sdh fto ktp kn  foto bareng ktp takutnya d   "
"273","Netral",0,"intinyamanta gan"
"274","Netral",0,"investasi  turun bos"
"275","Positif",1,"kalo  wd   banget amerhari  klo tocebnnget"
"276","Netral",0,"bagusss"
"277","Positif",1,"pembayaran instan  lengkadak  dana  atauovo"
"278","Netral",0,"   masukbelom tau airan dananya"
"279","Netral",0,"good"
"280","Positif",2,"ayolah fitur mode gela"
"281","Netral",0,"   bibit agi  rescejika  kendala  aibit mantap"
"282","Positif",2,"terjamin aman"
"283","Netral",0,"pencairannya   banget ya"
"284","Netral",0,"kenaasi bibit      buka"
"285","Netral",0,""
"286","Positif",2,"pelayanannya ramah bintang  deh"
"287","Positif",1," nyoba invest  gak  log in  knaa ðÿ  coba  adata ulang samya instal ulang  tete  masuk  aasi nya ðÿ kalo udh  masuk    kasih  stars"
"288","Netral",0,"bibit teraya  investasi   yananny  memuaskan     ceteratasi  luakai kode refferal bibitonlyone  dhasback reksadana"
"289","Netral",0,"kugona"
"290","Negatif",-1,"mudah dlm gunaannya  transaksi tada catatan blm bisanya to salah  emiten yg dimiliki    dito"
"291","Netral",0,"ok"
"292","Netral",0,"nmmbvj masukam referal   daan "
"293","Netral",0,"mudah dii"
"294","Negatif",-1,"keluhan registrasi  gk   verifikasi  temsebelah gk seribet in"
"295","Positif",1,"bagus  bayak beli"
"296","Positif",1,"bagus"
"297","Netral",0," mencoba"
"298","Netral",0," logon  msk keu googlee"
"299","Positif",3,"terima kasih  menyediakan aasi terbaik utk belajar berinvestasi"
"300","Netral",0,"jos"
"301","Netral",0,"good aya"
"302","Netral",0,"rizky bilarr  duit"
"303","Negatif",-1,"bibit aasinya koq berat bet ya  buka aasi aja  menit loading  blm  masuk"
"304","Netral",0,"ok"
"305","Positif",1,"bagus bngt"
"306","Positif",2,"  to bibit  beberaulan  rikan uangnya masuk kerening taelang beberaam   uang  rekening   habis   bahaya banget  kaget liatnya   langsung buka rekening   takut uangnya tersedot habis "
"307","Positif",2,"gc cocok gc sesuai"
"308","Positif",4,"kasih bintang    terbukti nyata keuntungannya  kasih  bintang terimakasih  semangat     luerinvestasi"
"309","Netral",0,"bgus  investasi  deoan"
"310","Positif",1,"bagus"
"311","Positif",1,"bagus"
"312","Positif",2,"fitur nya udah lumayan  simðÿ"
"313","Positif",4,"alhamdulillah  berhasil lending  atm  beberaaktu  maaf  luanti ulasannya   yg  nabung  untung  bibit aja  rekomendasikan"
"314","Netral",0,"terimakasihðÿðÿ  ngkatan orma aasiya mohon diaiki fitur orma ofolionya   return  d nya seringkali  alami ketidaksinkronan  halaman home grafik dnya seringkali terbalik terimakasih disaman     tim sut  solutif moga tim terkait   mengatasinya   normal"
"315","Positif",2,"bintang berbicara"
"316","Netral",0,"good"
"317","Netral",0,"user friendly"
"318","Netral",0,""
"319","Positif",1,"semoga  mantab kedukses bibittttt"
"320","Netral",0,"coba  kode referal  ftmaatd"
"321","Positif",2,"bagus banget aasinya agi  la hihi trusted  santai aja yuk i kode referral kucinggembul  registrasii biar  dacashback nihðÿ"
"322","Positif",1,"daan saldo cashback amamu masukkan kode referral gratis"
"323","Positif",1,"bonus  saldo  memasukan bibitantirugi semangat"
"324","Negatif",-1,"buruk keluarâ  gausah download"
"325","Positif",1,"bagus semoga cediadain ent via dana ya"
"326","Netral",0,"mantap"
"327","Positif",4,"aasinya bagus  bermanfaat  fitur  nabungnya jugaa keren abis semangat  develoya semoga next ue     banyakin fiturnya "
"328","Netral",0," semangat nabung"
"329","Netral",0,"daftar  gak      vikasi selfi gimana  "
"330","Negatif",-1," membantu  lamudah dijari   investasi  mengunakan jasa ya  manual klo manual y kayak stokbitajaib"
"331","Netral",0,"panteslah targetnya  la"
"332","Netral",0,"  investasiteruslah berkembang  membantu"
"333","Netral",0,"pakai referal  investormudaa  yuk belajar investasi barengbareng dijamin dacashbacknya"
"334","Netral",0," "
"335","Positif",5,"beneran aasi  cocok banget  la yg  belajar reksadana   mudah dimi  gak ribet      investasi  syariah  umat muslim gratis biaya komisi  bebas k  dicairkan kasaja tanenalti yg i investasi  aman  diawasi  ojk    mendaftar dg memasukkan kode referral gemilang su langsung dacashback r"
"336","Positif",1,"mantab berkualitasðÿðÿðÿ"
"337","Positif",1,"semoga   han investasi yg aman"
"338","Positif",3,"aasi mantaangat memudahkan  la jem  bibit masukkan kode referral dahebat  ribu  masuk  kantong  keeðÿ salam sukses salam da hebat nabung  bahagia    yokðÿš buruan bergabung  yok dahebat yok mari cuss"
"339","Netral",0,"good"
"340","Positif",1," la yg  belajar berinvestasiaasi bibit  as mendaan  bintang"
"341","Netral",0,"mantap"
"342","Netral",0,"good"
"343","Negatif",-1,"baca komentar  takut  "
"344","Positif",1,"bagus"
"345","Netral",0," membantu mengatur keuangan"
"346","Netral",0,"good"
"347","Netral",0,"reksadana"
"348","Positif",2,"sy kasih bintang     berinvestasi  bibit  tlayanannya   bagus sy dikasih  informasi  bibit    sy  a ktp sy  m   berinvestasi  bibit reksadana  mantah"
"349","Netral",0,"good ðÿðÿðÿðÿðÿ"
"350","Positif",2,"tdk  sdh thn nabung  bibit  yg sblmnya   belanja skrg  milih uangnya  tabung  bibit  semangat liat enan hujauhijau  yg menyenangkan     uang    jd buruan daftar jgn luasukin kode referral    dashback  rulumayan  nambah beli raksadana ðÿðÿ"
"351","Negatif",-2,"giliran  jual ko gk  ya tulisannya skrua yg letrus ya"
"352","Positif",5,"aasi  belajar investasi yg bagus  cocok  la sei  karna tingkat resiko       bibit  jenis rekaa dana yg cocok   ayo  kode referral bibitg nikmati cashback nya"
"353","Netral",0,"like this"
"354","Negatif",-2,"   susah   aasinya  msuk  aalod nya  ampun"
"355","Netral",0,"best investment app"
"356","Positif",2,"kode refferal  kidsvjy aasi  memudahkan   membangun dana  dehanya  beberalik    mendaan i saham   sahaan nice semoga  investor   nam saham  indonesia daberkembang   bibit   cashback    bibit  maudari rekanner bibit"
"357","Positif",1," dana darurat airan cekalau     bank jago  bank     cepat"
"358","Positif",1,"ue donktambahkan to  domdigital dana"
"359","Positif",1,"bagus"
"360","Negatif",-1,"kenaetika menjual  gagal "
"361","Positif",1,"bagus"
"362","Netral",0,"ðÿ"
"363","Netral",0,"good"
"364","Negatif",-4,"profit bln  rb mantang ulasan jelek tuh orang   maunya utung gak  rugi  beli nya  saham  obligasi  lol  nyairin cuman   budayakan nabung"
"365","Netral",0," menarik utk belajar saham"
"366","Positif",1," bagus"
"367","Netral",0," stay  aasi   investasi"
"368","Netral",0,"disangkan airannya  jd       urgent"
"369","Netral",0,"mantap"
"370","Positif",2,"terima kasih"
"371","Positif",1,"tolong  airan dana dielagi ngisi nya cecair nya  aasi sebelah gak  seharian   berhari    airan dana tolong  aiki "
"372","Netral",0,""
"373","Netral",0," mencoba"
"374","Netral",0,"gabisa regist"
"375","Netral",0,"amazing"
"376","Negatif",-1,"ribet ngtod"
"377","Netral",0," investasi  ribu  bertambah  ruðÿðÿ"
"378","Netral",0,"mantaaoss  mudah mudahan      asalahan tetancar"
"379","Positif",1,"makanannya enak"
"380","Netral",0," yg   cairhoax"
"381","Netral",0,"baguus"
"382","Netral",0,"mantaat investasi"
"383","Netral",0,"mantap"
"384","Negatif",-1," gak  buka aasi  kenaa   aaagi gangguan  aasinya   lancarâ aja uang investasi   disitu ya taak   buka "
"385","Netral",0,"perfeck"
"386","Netral",0,"bb ointa cinta"
"387","Netral",0,"mantap"
"388","Netral",0,"heres"
"389","Positif",2," bintang  kalo bagus  "
"390","Positif",1,"am    es ud selfie foto ktja gak berhasil x ud gagal "
"391","Negatif",-1,"tanggal  oktober  dadi ue   uninstall     diinstal   redmi versi miui global  gimana ya admin "
"392","Netral",0,"masukan kode referral mangucup"
"393","Netral",0,"penarikan   butuh dana darurat"
